GDAY_DS,T_ID,HEADER_NO,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,TB_SC,WLS
20200731,LG,0,27.0,2.0,2.0,37.0,34.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,137.0,8.45,B,L
20200731,LT,0,27.0,3.0,2.0,38.0,34.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,160.0,3.8099999999999996,B,L
20200731,NC,0,27.0,7.0,7.0,44.0,39.0,14.0,2.0,0.0,1.0,4.0,0.0,0.0,8.0,180.0,6.6,B,W
20200731,OB,0,24.0,10.0,10.0,42.0,37.0,14.0,4.0,0.0,1.0,3.0,0.0,2.0,7.0,184.0,12.149999999999999,T,L
20200731,SK,0,24.0,11.0,11.0,42.0,39.0,16.0,3.0,0.0,4.0,3.0,0.0,0.0,8.0,175.0,8.259999999999998,T,L
20200731,SS,0,27.0,10.0,10.0,42.0,36.0,10.0,2.0,0.0,3.0,6.0,0.0,0.0,7.0,157.0,12.86,B,L
20200731,WO,0,27.0,3.0,3.0,40.0,35.0,8.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,151.0,10.16,T,W
20200801,HH,0,24.0,9.0,7.0,41.0,39.0,15.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,161.0,9.299999999999999,T,L
20200801,HT,0,21.0,5.0,4.0,32.0,26.0,8.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,120.0,4.85,T,L
20200801,KT,0,27.0,0.0,0.0,34.0,32.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,135.0,5.1499999999999995,B,W
20200801,LG,0,27.0,6.0,6.0,40.0,34.0,8.0,2.0,0.0,1.0,5.0,0.0,1.0,8.0,167.0,5.970000000000001,B,W
20200801,LT,0,27.0,3.0,3.0,36.0,34.0,9.0,2.0,0.0,1.0,2.0,0.0,0.0,9.0,147.0,5.6899999999999995,B,W
20200801,NC,0,30.0,12.0,11.0,51.0,45.0,17.0,2.0,1.0,0.0,4.0,1.0,0.0,9.0,186.0,10.209999999999999,B,L
20200801,OB,0,30.0,10.0,9.0,52.0,45.0,15.0,4.0,0.0,2.0,7.0,0.0,0.0,8.0,189.0,7.609999999999999,T,W
20200801,SK,0,24.0,11.0,11.0,41.0,36.0,13.0,1.0,1.0,3.0,5.0,0.0,0.0,2.0,135.0,7.9,T,L
20200801,SS,0,27.0,22.0,21.0,62.0,48.0,23.0,7.0,0.0,1.0,11.0,0.0,1.0,6.0,246.0,23.14,B,L
20200801,WO,0,27.0,7.0,6.0,40.0,34.0,8.0,4.0,0.0,0.0,4.0,0.0,2.0,8.0,185.0,7.34,T,W
20200802,HT,0,24.0,8.0,7.0,39.0,34.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,6.0,161.0,6.07,T,L
20200802,LT,0,27.0,0.0,0.0,32.0,30.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,124.0,3.5300000000000002,B,W
20200802,NC,0,36.0,7.0,6.0,51.0,48.0,15.0,5.0,0.0,0.0,2.0,0.0,0.0,8.0,201.0,12.370000000000001,B,L
20200802,OB,0,36.0,4.0,4.0,47.0,42.0,8.0,1.0,0.0,2.0,3.0,0.0,2.0,10.0,182.0,8.4,T,W
20200802,SS,0,30.0,4.0,4.0,41.0,38.0,10.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,141.0,9.02,B,L
20200802,WO,0,30.0,2.0,2.0,41.0,39.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,149.0,4.3,T,W
20200804,HT,0,27.0,15.0,15.0,47.0,41.0,16.0,1.0,2.0,3.0,5.0,0.0,1.0,9.0,184.0,11.98,B,L
20200804,KT,0,27.0,2.0,2.0,38.0,34.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,154.0,6.1000000000000005,T,W
20200804,LG,0,27.0,5.0,3.0,40.0,36.0,8.0,1.0,0.0,1.0,4.0,0.0,0.0,10.0,146.0,6.59,T,W
20200804,LT,0,27.0,0.0,0.0,33.0,31.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,120.0,4.92,T,W
20200804,OB,0,27.0,6.0,6.0,41.0,34.0,7.0,2.0,0.0,1.0,6.0,1.0,1.0,10.0,166.0,9.780000000000001,B,L
20200804,SK,0,27.0,8.0,8.0,46.0,41.0,15.0,3.0,0.0,1.0,4.0,0.0,1.0,2.0,170.0,9.01,B,L
20200804,SS,0,27.0,3.0,2.0,37.0,36.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,138.0,7.140000000000001,T,W
20200804,WO,0,27.0,4.0,4.0,38.0,32.0,11.0,1.0,0.0,0.0,4.0,0.0,0.0,9.0,143.0,8.26,B,L
20200805,HH,0,27.0,5.0,5.0,43.0,30.0,6.0,0.0,1.0,0.0,9.0,1.0,2.0,4.0,164.0,5.36,B,W
20200805,HT,0,24.0,5.0,5.0,36.0,30.0,9.0,2.0,0.0,1.0,5.0,0.0,0.0,10.0,146.0,9.29,B,L
20200805,KT,0,24.0,12.0,7.0,46.0,40.0,15.0,2.0,0.0,1.0,5.0,0.0,1.0,7.0,183.0,7.48,T,L
20200805,LG,0,27.0,4.0,4.0,38.0,35.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,151.0,7.180000000000001,T,W
20200805,NC,0,24.0,8.0,7.0,43.0,33.0,12.0,2.0,0.0,1.0,5.0,0.0,2.0,5.0,158.0,7.7700000000000005,T,L
20200805,OB,0,25.0,2.0,1.0,40.0,34.0,12.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,155.0,6.1,B,D
20200805,SS,0,24.0,2.0,0.0,32.0,28.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,130.0,5.15,T,D
20200805,WO,0,27.0,3.0,2.0,36.0,34.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,128.0,5.48,B,W
20200806,HH,0,27.0,4.0,4.0,39.0,32.0,8.0,1.0,0.0,2.0,7.0,0.0,0.0,4.0,173.0,8.489999999999998,B,L
20200806,HT,0,27.0,1.0,1.0,30.0,28.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,110.0,2.0700000000000003,B,W
20200806,KT,0,24.0,3.0,3.0,35.0,28.0,7.0,2.0,0.0,1.0,5.0,1.0,0.0,4.0,139.0,3.1599999999999997,T,L
20200806,LG,0,24.0,13.0,13.0,42.0,35.0,12.0,3.0,0.0,4.0,6.0,0.0,1.0,8.0,177.0,7.25,T,L
20200806,LT,0,27.0,2.0,2.0,35.0,33.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,113.0,2.64,T,W
20200806,NC,0,27.0,1.0,1.0,34.0,29.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,154.0,5.78,T,W
20200806,OB,0,27.0,2.0,2.0,40.0,38.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,172.0,5.27,B,W
20200806,SK,0,27.0,8.0,6.0,39.0,33.0,6.0,0.0,0.0,2.0,4.0,0.0,2.0,6.0,150.0,13.94,B,L
20200806,SS,0,24.0,5.0,5.0,36.0,31.0,7.0,1.0,1.0,0.0,4.0,0.0,0.0,7.0,140.0,5.5,T,L
20200806,WO,0,27.0,2.0,2.0,34.0,32.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,122.0,5.13,B,W
20200807,LG,0,27.0,2.0,2.0,38.0,32.0,6.0,2.0,0.0,0.0,4.0,0.0,1.0,8.0,140.0,5.890000000000001,T,W
20200807,LT,0,27.0,4.0,4.0,38.0,35.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,117.0,6.01,T,W
20200807,OB,0,27.0,8.0,5.0,49.0,39.0,12.0,2.0,0.0,2.0,8.0,0.0,1.0,6.0,194.0,9.559999999999999,B,L
20200807,SK,0,27.0,2.0,2.0,36.0,29.0,6.0,1.0,0.0,1.0,4.0,0.0,2.0,7.0,147.0,5.720000000000001,B,L
