T_ID,GDAY_DS,HEADER_NO,NAME,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,MONEY,AGE_VA
LG,20200814,0,이정용,30.0,4.0,4.0,42.0,37.0,8.0,1.0,0.0,2.0,4.0,0.0,1.0,13.0,156.0,10.02,24300.0,207
LG,20200814,0,진해수,15.0,2.0,2.0,25.0,22.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,102.0,14.75,250000.0,340
LG,20200814,0,최동환,20.0,6.0,6.0,28.0,25.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,109.0,14.01,70000.0,310
LG,20200815,0,송은범,24.0,1.0,1.0,30.0,28.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,121.0,13.88,189000.0,252
LG,20200815,0,여건욱,8.0,5.0,5.0,15.0,14.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,57.0,4.32,21000.0,102
LG,20200815,0,윌슨,84.0,13.0,10.0,124.0,104.0,26.0,3.0,0.0,2.0,14.0,0.0,2.0,30.0,491.0,6.92,550000.0,155
LG,20200815,0,정우영,41.0,1.0,1.0,47.0,44.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,169.0,9.799999999999999,80000.0,210
LG,20200815,0,진해수,16.0,2.0,2.0,27.0,24.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,110.0,16.25,275000.0,374
LG,20200815,0,최성훈,17.0,6.0,6.0,27.0,23.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,105.0,11.11,42300.0,279
LG,20200816,0,고우석,24.0,3.0,3.0,31.0,29.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,10.0,134.0,15.439999999999998,154000.0,154
LG,20200816,0,이민호,53.0,11.0,11.0,79.0,70.0,21.0,6.0,0.0,1.0,6.0,0.0,2.0,10.0,314.0,3.75,8100.0,57
LG,20200816,0,이정용,33.0,4.0,4.0,45.0,40.0,8.0,1.0,0.0,2.0,4.0,0.0,1.0,15.0,171.0,11.11,27000.0,230
LG,20200816,0,최성훈,17.0,6.0,6.0,28.0,24.0,10.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,109.0,12.48,47000.0,310
