GDAY_DS,T_ID,HEADER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,PA,TB_SC
20200806,OB,0,9.0,31.0,5.0,7.0,1.0,1.0,0.0,10.0,5.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,36.0,B
20200806,SK,0,9.0,33.0,2.0,8.0,1.0,0.0,1.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,37.0,B
20200806,SS,0,9.0,38.0,2.0,11.0,0.0,0.0,0.0,11.0,2.0,3.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,40.0,T
20200806,WO,0,9.0,28.0,3.0,7.0,2.0,0.0,1.0,12.0,3.0,1.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,35.0,B
20200807,LG,0,9.0,36.0,5.0,10.0,0.0,1.0,1.0,15.0,5.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,1.0,39.0,T
20200807,LT,0,9.0,39.0,8.0,12.0,2.0,0.0,2.0,20.0,7.0,0.0,0.0,8.0,1.0,0.0,6.0,1.0,0.0,1.0,49.0,T
20200807,OB,0,9.0,35.0,4.0,11.0,1.0,0.0,0.0,12.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,38.0,B
20200807,SK,0,9.0,32.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,38.0,B
20200807,SS,0,9.0,29.0,2.0,6.0,1.0,0.0,1.0,10.0,2.0,2.0,2.0,4.0,2.0,0.0,7.0,1.0,1.0,0.0,36.0,T
20200807,WO,0,9.0,32.0,2.0,6.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,1.0,38.0,B
20200808,HT,0,9.0,28.0,3.0,4.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,28.0,B
20200808,LG,0,9.0,32.0,1.0,8.0,2.0,0.0,1.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,35.0,T
20200808,LT,0,9.0,22.0,1.0,6.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,24.0,T
20200808,NC,0,9.0,31.0,2.0,6.0,1.0,2.0,0.0,11.0,2.0,2.0,1.0,7.0,2.0,0.0,6.0,1.0,0.0,0.0,40.0,T
20200808,OB,0,9.0,16.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,B
20200808,SK,0,9.0,19.0,4.0,3.0,2.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,B
20200808,SS,0,9.0,17.0,2.0,5.0,1.0,0.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,T
20200808,WO,0,9.0,32.0,5.0,9.0,1.0,0.0,1.0,13.0,5.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,35.0,B
20200809,HH,0,9.0,34.0,3.0,8.0,1.0,0.0,1.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,1.0,43.0,B
20200809,HT,0,9.0,32.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,41.0,B
20200809,KT,0,9.0,37.0,6.0,12.0,5.0,0.0,1.0,20.0,6.0,0.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,0.0,42.0,T
20200809,LG,0,9.0,30.0,1.0,4.0,2.0,0.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,31.0,T
20200809,NC,0,9.0,39.0,8.0,14.0,2.0,1.0,1.0,21.0,7.0,0.0,0.0,5.0,1.0,0.0,8.0,2.0,0.0,0.0,45.0,T
20200809,WO,0,9.0,28.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,1.0,0.0,6.0,2.0,2.0,0.0,34.0,B
20200811,HH,0,9.0,44.0,7.0,10.0,1.0,0.0,1.0,14.0,7.0,0.0,1.0,6.0,2.0,1.0,10.0,0.0,2.0,1.0,61.0,T
20200811,HT,0,9.0,35.0,8.0,11.0,3.0,0.0,0.0,14.0,8.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,43.0,T
20200811,KT,0,9.0,31.0,6.0,11.0,2.0,0.0,1.0,16.0,6.0,0.0,1.0,6.0,0.0,0.0,8.0,2.0,0.0,1.0,38.0,B
20200811,LG,0,9.0,36.0,4.0,9.0,2.0,0.0,1.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,37.0,B
20200811,OB,0,9.0,33.0,6.0,9.0,1.0,0.0,1.0,13.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,39.0,T
20200811,SK,0,9.0,30.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,0.0,0.0,36.0,T
20200811,SS,0,9.0,34.0,1.0,8.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,36.0,B
20200811,WO,0,9.0,45.0,5.0,12.0,1.0,0.0,1.0,16.0,5.0,2.0,0.0,7.0,1.0,0.0,13.0,0.0,2.0,1.0,56.0,B
20200812,HH,0,9.0,34.0,2.0,4.0,1.0,0.0,1.0,8.0,2.0,1.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,43.0,T
20200812,HT,0,9.0,29.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,35.0,T
20200812,KT,0,9.0,27.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,30.0,B
20200812,LG,0,9.0,34.0,8.0,12.0,5.0,0.0,0.0,17.0,8.0,1.0,0.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,37.0,B
20200812,LT,0,9.0,33.0,8.0,13.0,3.0,0.0,1.0,19.0,8.0,0.0,1.0,4.0,2.0,0.0,4.0,1.0,2.0,0.0,41.0,B
20200812,NC,0,9.0,35.0,4.0,9.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,41.0,T
20200812,OB,0,9.0,45.0,15.0,24.0,2.0,0.0,2.0,32.0,14.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,50.0,T
20200812,SK,0,9.0,36.0,11.0,12.0,3.0,0.0,1.0,18.0,11.0,1.0,0.0,9.0,1.0,0.0,5.0,1.0,0.0,0.0,46.0,T
20200812,SS,0,9.0,42.0,8.0,16.0,4.0,0.0,2.0,26.0,7.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,43.0,B
20200812,WO,0,9.0,30.0,3.0,9.0,2.0,0.0,1.0,14.0,3.0,1.0,2.0,6.0,1.0,0.0,3.0,3.0,1.0,1.0,39.0,B
20200813,HH,0,9.0,32.0,3.0,9.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,2.0,0.0,10.0,2.0,1.0,0.0,44.0,T
20200813,HT,0,9.0,32.0,2.0,5.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,33.0,T
20200813,KT,0,9.0,36.0,6.0,10.0,2.0,0.0,1.0,15.0,5.0,1.0,0.0,11.0,0.0,0.0,17.0,1.0,0.0,1.0,48.0,B
20200813,LG,0,9.0,29.0,4.0,8.0,1.0,0.0,2.0,15.0,4.0,0.0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,0.0,35.0,B
20200813,LT,0,9.0,33.0,2.0,7.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,33.0,B
20200813,NC,0,9.0,39.0,9.0,14.0,1.0,0.0,1.0,18.0,8.0,0.0,0.0,3.0,1.0,0.0,7.0,1.0,0.0,0.0,43.0,T
20200813,OB,0,9.0,28.0,2.0,4.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,9.0,0.0,0.0,11.0,1.0,1.0,1.0,39.0,T
20200813,SK,0,9.0,41.0,10.0,16.0,1.0,0.0,1.0,20.0,10.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,52.0,T
20200813,SS,0,9.0,33.0,3.0,9.0,1.0,0.0,2.0,16.0,3.0,1.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,38.0,B
20200813,WO,0,9.0,31.0,6.0,11.0,1.0,1.0,1.0,17.0,6.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,36.0,B
20200814,HH,0,9.0,29.0,1.0,4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,34.0,B
